file_name,chamfer_distance,hausdorff_distance,total_gt_points,total_cnd_points,normalized_chamfer_distance,cell_size,options,completeness,artifact_score,resolution,accuracy,quality,variance
hilti_lego,,,,,,5.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.1}",0.000849092717509927,0.04474285723657173,0.0033862315316949927,0.5077327013236645,0.1391777207023603,"{'completeness': 1.4422808625914486e-06, 'artifacts': 0.004774746721185862, 'resolution': 3.753447450403029e-05, 'accuracy': 0.22883270753592042, 'quality': 0.017178982375315753}"
hilti_fast,,,,,,5.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.01}",0.011135812341550087,0.012095654293564418,0.18438649788581074,0.6139156279801243,0.2053833981252624,"{'completeness': 0.0004831393009378142, 'artifacts': 0.0005135498291275863, 'resolution': 0.06886914987011893, 'accuracy': 0.22902416142065932, 'quality': 0.02905461057731332}"
hilti_fast,,,,,,1.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.05}",0.12804231270460778,0.15059960459612162,0.20535219761447032,0.4216737786521482,0.22641697339183697,"{'completeness': 0.04604240494628984, 'artifacts': 0.04175187374067248, 'resolution': 0.093959380629499, 'accuracy': 0.17174570439322118, 'quality': 0.057269445148438465}"
hilti_lego,,,,,,2.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.01}",5.4135676926938876e-05,0.003754813279142637,0.005013743613611723,0.4991366042844104,0.12698982421352295,"{'completeness': 8.146196981104057e-09, 'artifacts': 3.3059723113621936e-05, 'resolution': 0.001781615351153024, 'accuracy': 0.2474398257635097, 'quality': 0.016125071792265425}"
hilti_fast,,,,,,2.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.05}",0.14080394229285031,0.1501564010929454,0.20591698855491392,0.3798453301291661,0.21918066551746895,"{'completeness': 0.05322544283424987, 'artifacts': 0.04038076053078051, 'resolution': 0.0922978205058127, 'accuracy': 0.16229508688844171, 'quality': 0.06066065210123069}"
hilti_fast,,,,,,10.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.1}",0.36810042113210045,0.42677995952981324,0.21771511395660278,0.3836133701548462,0.34905221619334065,"{'completeness': 0.13673586205829108, 'artifacts': 0.13952265245363013, 'resolution': 0.05309784650499686, 'accuracy': 0.0998428140192929, 'quality': 0.09191634977459971}"
hilti_lego,,,,,,2.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.1}",0.0010454236348659217,0.05640908970503931,0.005013743613611723,0.4726925282190654,0.13379019629314556,"{'completeness': 3.278840717048921e-06, 'artifacts': 0.006032253466855532, 'resolution': 0.001781615351153024, 'accuracy': 0.2225392011492129, 'quality': 0.01793201940495149}"
hilti_lego,,,,,,1.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.01}",4.6617064376109476e-05,0.003504988665230542,0.0038110152279214183,0.438458781782413,0.11145535068498527,"{'completeness': 6.886882567160805e-09, 'artifacts': 3.602924040688915e-05, 'resolution': 0.0005986903761525363, 'accuracy': 0.24383142016878515, 'quality': 0.015790855343356298}"
hilti_lego,,,,,,5.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.05}",0.0003686276024724169,0.021888832791033253,0.0033862315316949927,0.5193107773621091,0.13623861732182746,"{'completeness': 3.0621586050025503e-07, 'artifacts': 0.001189485347609056, 'resolution': 3.753447450403029e-05, 'accuracy': 0.2387717537712528, 'quality': 0.016429621669692536}"
hilti_fast,,,,,,1.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.1}",0.24349221299730664,0.3156484733170925,0.20535219761447032,0.3582181106107055,0.28067774863489375,"{'completeness': 0.11220249603182109, 'artifacts': 0.1374499641262245, 'resolution': 0.093959380629499, 'accuracy': 0.12951587052189462, 'quality': 0.08905809470085609}"
hilti_fast,,,,,,5.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.1}",0.2990862980256408,0.38601498684506436,0.18438649788581074,0.4241379570230752,0.32340643494489774,"{'completeness': 0.12077774205594664, 'artifacts': 0.14342882818065456, 'resolution': 0.06886914987011893, 'accuracy': 0.12210423184840748, 'quality': 0.08127335128589182}"
hilti_lego,,,,,,2.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.05}",0.00044599390684204124,0.027596509478682325,0.005013743613611723,0.4871388534490673,0.13004877511205087,"{'completeness': 5.112869586653684e-07, 'artifacts': 0.0019556062172067967, 'resolution': 0.001781615351153024, 'accuracy': 0.2359613291594257, 'quality': 0.016921741555441433}"
hilti_fast,,,,,,1.0,"{'wc': 0.25, 'wt': 0.25, 'wa': 0.25, 'wr': 0.25, 'e': 0.01}",0.00968851062567354,0.012670542371025724,0.20535219761447032,0.5102938158768385,0.18450126662200206,"{'completeness': 0.00043552210186004344, 'artifacts': 0.0009253336139500076, 'resolution': 0.093959380629499, 'accuracy': 0.24174612335000173, 'quality': 0.03525978897866393}"
